Vardas         Pavarde             p1   p2   p3   p4   p5   p6   p7   p8   p9   p10  p11  p12  p13  p14  p15  egz  
Vardas1        Pavarde1            2    1    5    3    7    8    4    9    7    2    10   10   5    2    7    2    
Vardas2        Pavarde2            9    3    2    8    6    5    6    6    9    7    3    4    8    3    2    9    
Vardas3        Pavarde3            9    6    3    1    8    9    8    10   6    7    3    6    1    8    1    9    
Vardas4        Pavarde4            3    5    4    4    9    3    8    5    1    1    1    1    6    1    4    9    
Vardas5        Pavarde5            9    5    9    5    4    10   7    10   1    2    4    3    8    1    6    2    
Vardas6        Pavarde6            10   3    5    4    5    5    5    4    1    8    3    3    6    6    4    7    
Vardas7        Pavarde7            3    9    2    10   6    6    5    9    7    1    2    8    5    8    4    7    
Vardas8        Pavarde8            4    1    7    5    10   4    8    5    2    3    5    1    6    7    10   9    
Vardas9        Pavarde9            10   2    8    5    7    6    2    10   1    10   3    1    1    1    3    6    
Vardas10       Pavarde10           3    9    9    4    1    5    8    5    3    7    5    3    5    6    4    2    
Vardas11       Pavarde11           10   3    8    10   4    2    2    3    3    4    6    2    9    2    5    5    
Vardas12       Pavarde12           10   9    8    1    3    4    6    5    5    3    6    6    5    8    8    3    
Vardas13       Pavarde13           5    1    3    7    8    6    7    10   6    9    7    8    8    8    4    4    
Vardas14       Pavarde14           4    5    1    10   9    6    2    1    7    3    8    2    3    10   8    8    
Vardas15       Pavarde15           10   10   2    10   9    9    7    4    3    3    9    9    10   8    6    4    
Vardas16       Pavarde16           2    5    1    2    10   2    8    9    8    9    2    7    4    4    6    5    
Vardas17       Pavarde17           1    7    2    2    4    10   4    6    1    1    4    5    8    5    7    2    
Vardas18       Pavarde18           3    9    8    4    3    10   6    2    1    9    1    4    9    10   5    1    
Vardas19       Pavarde19           1    1    7    6    8    9    5    10   3    6    2    3    6    1    6    2    
Vardas20       Pavarde20           3    9    7    9    3    7    5    8    10   7    4    1    1    7    7    4    
Vardas21       Pavarde21           7    4    4    8    6    5    10   10   2    4    9    9    7    7    3    2    
Vardas22       Pavarde22           6    9    4    9    6    4    5    9    4    9    10   9    1    6    10   4    
Vardas23       Pavarde23           6    9    3    8    7    5    1    5    1    8    5    8    9    2    6    3    
Vardas24       Pavarde24           9    4    4    8    9    1    10   5    10   7    3    10   10   4    10   8    
Vardas25       Pavarde25           5    5    2    8    10   9    4    5    2    9    5    4    3    8    1    1    
Vardas26       Pavarde26           4    7    5    4    8    10   6    9    1    9    2    4    6    8    7    6    
Vardas27       Pavarde27           2    2    5    4    10   4    3    10   4    5    6    9    8    1    4    10   
Vardas28       Pavarde28           6    9    10   1    3    4    5    8    10   5    6    2    8    6    9    6    
Vardas29       Pavarde29           8    10   2    7    9    5    6    6    9    2    4    2    2    2    5    8    
Vardas30       Pavarde30           4    4    10   3    9    8    9    10   7    8    7    6    5    8    8    7    
Vardas31       Pavarde31           9    2    1    10   6    10   7    4    3    5    10   5    2    10   8    4    
Vardas32       Pavarde32           2    2    5    6    5    5    5    5    5    1    6    10   10   5    10   3    
Vardas33       Pavarde33           10   9    6    3    5    6    5    4    5    5    8    1    2    3    10   1    
Vardas34       Pavarde34           4    4    2    7    9    5    5    5    10   5    3    4    2    6    8    7    
Vardas35       Pavarde35           7    8    9    6    2    4    10   8    2    3    4    4    9    7    9    1    
Vardas36       Pavarde36           7    9    9    1    1    10   10   3    5    10   4    9    2    7    8    7    
Vardas37       Pavarde37           9    9    5    10   4    4    5    2    10   4    4    4    7    8    10   2    
Vardas38       Pavarde38           5    1    8    8    10   6    7    2    6    10   1    2    7    1    9    9    
Vardas39       Pavarde39           9    4    8    9    2    7    10   2    1    8    10   6    9    4    7    10   
Vardas40       Pavarde40           5    7    6    8    8    7    4    7    10   2    8    5    8    1    2    6    
Vardas41       Pavarde41           10   9    7    3    8    7    2    7    4    3    10   4    6    8    7    4    
Vardas42       Pavarde42           4    4    7    6    6    5    7    1    2    5    8    10   9    6    3    8    
Vardas43       Pavarde43           9    8    1    7    10   9    9    8    9    2    7    10   3    1    3    7    
Vardas44       Pavarde44           6    4    9    4    7    4    8    7    1    1    5    1    7    4    2    8    
Vardas45       Pavarde45           4    7    2    1    3    4    2    6    7    4    5    7    7    1    5    3    
